CNAE;Segmento;0-40;40-70;70-90;90-100;Total
5611;Restaurantes e afins.;55,1;58,4;67,9;79,2;61,1
"4744
4741
4742
4743";"Varejo de ferragens, madeira, e mat. construção. 
Varejo de tintas e materiais para pintura.
Varejo de material elétrico.
Varejo de vidros.";41,1;47,4;50,1;50,0;45,7
"4530
4520
4541";"Comércio de peças e acessórios para veículos.
Manut. e reparação de veículos.
Atacado e varejo de motocicletas, peças e acess.";29,6;35,6;44,8;49,2;36,4
4781;Varejo de artigos do vestuário.;72,5;73,3;76,8;83,2;74,7
"4771
4772";"Varejo de fármacos de uso humano e veterinário.
Varejo de cosméticos, produtos de perfumaria, etc.";97,4;97,8;98,3;98,7;97,8
"4754
3101";"Varejo de móveis, colchoaria e iluminação.
Fabricação de móveis de madeira.";38,0;35,1;36,5;36,9;36,7
4782;Varejo de calçados e artigos de viagem.;59,6;58,9;62,1;64,9;60,4
"4751
9511";"Varejo de equip. e supr. em informática.
Reparação e manut. de computadores e periféricos.";6,8;9,6;13,7;21,4;10,5
8599;Ativ. de ensino não especificadas.;5,1;7,0;8,2;12,3;7,0
4755;Varejo de tecidos e artigos cama, mesa e banho.;18,6;22,4;25,4;26,6;21,9
8630;Ativ. de médicos e odontólogos.;15,5;23,0;28,7;33,9;22,2
5510;Hotéis e similares.;1,1;2,7;6,3;16,4;4,1
4761;Varejo de livros, jornais, revistas e papelaria.;45,9;37,2;39,8;51,6;42,7
4763;Varejo de artigos recreativos e esportivos.;39,3;35,2;40,1;48,3;39,1
4774;Varejo de artigos de óptica.;4,3;6,3;8,4;12,7;6,5
6622;Corret. de seguros, planos previd. complem., saúde, etc;13,1;31,5;54,1;79,6;33,5
4759;Varejo de artigos uso doméstico não especificados.;39,7;43,2;47,6;56,8;44,0
4722;Varejo carnes e pescados - açougues e peixarias.;51,2;48,7;51,8;52,8;50,7
"8512
8511";"Educação pré-escolar.
Educação infantil.";2,3;2,9;3,3;5,5;3,0
4753;Varejo de eletrod. e equip.de áudio e vídeo.;53,1;52,9;56,7;60,6;54,5
8513;Ensino fundamental.;4,1;5,3;7,7;10,2;5,8
9602;Cabeleireiros e outras ativ. de tratamento de beleza.;77,8;82,2;85,4;91,1;82,0
4723;Varejo de bebidas.;21,7;29,2;37,6;45,1;29,5
4752;Varejo de equip. de telefonia e comunicação.;33,4;35,4;39,9;46,2;36,6
4783;Varejo de joias e relógios.;11,3;13,2;15,7;21,1;13,7
8650;Ativ. profiss. saúde, exceto médicos e odontólogos.;0,7;1,3;2,9;6,8;1,9
8640;Ativ. serv. de complem. diagn. e terapêutica.;9,4;11,9;12,3;10,5;10,9
4784;Varejo de gás liquefeito de petróleo (GLP).;91,4;88,8;78,9;54,9;84,5
4724;Varejo de hortifrutigranjeiros.;44,2;50,8;58,7;66,9;51,4
7911;Agências de viagens.;0,7;2,1;3,9;7,2;2,4
4757;Varejo de. peças de eletrodomésticos.;10,3;11,7;14,5;18,7;12,4
9001;Artes cênicas, espetáculos e ativ. complementares.;10,9;17,9;25,3;38,6;18,7
9313;Ativ. de condicionamento físico.;3,4;6,8;12,4;27,0;8,6
4773;Varejo de artigos médicos e ortopédicos.;0,9;1,3;1,8;1,7;1,3
8593;Ensino de idiomas;0,8;1,6;4,0;10,0;2,6
8520;Ensino médio;0,8;1,1;2,0;3,1;1,4
